Context,Class Name,Schema Type,Inheritance,Compliance Score,File Path,Priority,Domain Mapping,ORM Mapping,Complexity Assessment,Required Actions
Seedwork,ApiSeedUser,Value Object,BaseValueObject[SeedUser, UserSaModel],100%,src/contexts/seedwork/shared/adapters/api_schemas/value_objects/user.py,HIGH - FOUNDATION,SeedUser domain entity,UserSaModel ORM,SIMPLE - Foundation value object,✅ NONE - Already compliant
Shared Kernel,ApiAddress,Value Object,BaseValueObject[Address, SaBase],100%,src/contexts/shared_kernel/adapters/api_schemas/value_objects/address.py,HIGH - SHARED ACROSS CONTEXTS,Address value object,SaBase (generic),SIMPLE - Geographic data value object,✅ NONE - Already compliant
Shared Kernel,ApiContactInfo,Value Object,BaseValueObject[ContactInfo, SaBase],100%,src/contexts/shared_kernel/adapters/api_schemas/value_objects/contact_info.py,HIGH - SHARED ACROSS CONTEXTS,ContactInfo value object,SaBase (generic),SIMPLE - Contact data value object,✅ NONE - Already compliant
Shared Kernel,ApiProfile,Value Object,BaseValueObject[Profile, SaBase],100%,src/contexts/shared_kernel/adapters/api_schemas/value_objects/profile.py,HIGH - SHARED ACROSS CONTEXTS,Profile value object,SaBase (generic),SIMPLE - User profile data,✅ NONE - Already compliant
Shared Kernel,ApiTag,Value Object,BaseValueObject[Tag, TagSaModel],100%,src/contexts/shared_kernel/adapters/api_schemas/value_objects/tag/tag.py,HIGH - SHARED ACROSS CONTEXTS,Tag value object,TagSaModel ORM,SIMPLE - Tagging system value object,✅ NONE - Already compliant
Shared Kernel,ApiNutriFacts,Value Object,BaseValueObject[NutriFacts, SaBase],85%,src/contexts/shared_kernel/adapters/api_schemas/value_objects/nutri_facts.py,HIGH - SHARED ACROSS CONTEXTS,NutriFacts value object,SaBase (generic),MEDIUM - Complex nutrition calculations,⚠️ ADD from_orm_model method
Shared Kernel,ApiNutriValue,Value Object,BaseValueObject[NutriValue, SaBase],85%,src/contexts/shared_kernel/adapters/api_schemas/value_objects/nutri_value.py,HIGH - SHARED ACROSS CONTEXTS,NutriValue value object,SaBase (generic),SIMPLE - Single nutrition value,⚠️ ADD from_orm_model method
IAM,ApiAssignRoleToUser,Command,BaseCommand[AssignRoleToUser, SaBase],70%,src/contexts/iam/core/adapters/api_schemas/commands/api_assign_role_to_user.py,HIGH - SECURITY CRITICAL,AssignRoleToUser command,SaBase (generic),SIMPLE - Role assignment command,⚠️ ADD from_orm_model and to_orm_kwargs methods
IAM,ApiCreateUser,Command,BaseCommand[CreateUser, SaBase],70%,src/contexts/iam/core/adapters/api_schemas/commands/api_create_user.py,HIGH - SECURITY CRITICAL,CreateUser command,SaBase (generic),MEDIUM - User creation with validation,⚠️ ADD from_orm_model and to_orm_kwargs methods
IAM,ApiRemoveRoleFromUser,Command,BaseCommand[RemoveRoleFromUser, SaBase],70%,src/contexts/iam/core/adapters/api_schemas/commands/api_remove_role_from_user.py,HIGH - SECURITY CRITICAL,RemoveRoleFromUser command,SaBase (generic),SIMPLE - Role removal command,⚠️ ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiUser,Value Object,ApiSeedUser,60%,src/contexts/recipes_catalog/core/adapters/shared/api_schemas/value_objects/api_user.py,MEDIUM,SeedUser domain entity (inherited),UserSaModel ORM (inherited),SIMPLE - User reference within recipes context,🔄 CHANGE inheritance to BaseValueObject + UPDATE type parameters
Recipes Catalog,ApiAttributesToUpdateOnClient,Command,BaseCommand[UpdateClient, SaBase],55%,src/contexts/recipes_catalog/core/adapters/client/api_schemas/commands/update_client.py,MEDIUM,UpdateClient command,SaBase (generic),MEDIUM - Client update with partial data,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiAttributesToUpdateOnMeal,Command,BaseCommand[UpdateMeal, SaBase],55%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/commands/update_meal.py,MEDIUM,UpdateMeal command,SaBase (generic),MEDIUM - Meal update with partial data,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiAttributesToUpdateOnMenu,Command,BaseCommand[UpdateMenu, SaBase],55%,src/contexts/recipes_catalog/core/adapters/client/api_schemas/commands/update_menu.py,MEDIUM,UpdateMenu command,SaBase (generic),MEDIUM - Menu update with partial data,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiAttributesToUpdateOnRecipe,Command,BaseCommand[UpdateRecipe, SaBase],55%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/commands/update_recipe.py,HIGH - CORE BUSINESS,UpdateRecipe command,SaBase (generic),COMPLEX - Recipe update with ingredients and nutrition,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiCopyRecipe,Command,BaseCommand[CopyRecipe, SaBase],55%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/commands/copy_recipe.py,MEDIUM,CopyRecipe command,SaBase (generic),MEDIUM - Recipe copying with data duplication,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiCreateClient,Command,BaseCommand[CreateClient, SaBase],55%,src/contexts/recipes_catalog/core/adapters/client/api_schemas/commands/create_client.py,MEDIUM,CreateClient command,SaBase (generic),MEDIUM - Client creation with preferences,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiCreateMeal,Command,BaseCommand[CreateMeal, SaBase],55%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/commands/create_meal.py,HIGH - CORE BUSINESS,CreateMeal command,SaBase (generic),COMPLEX - Meal creation with recipes and scheduling,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiCreateMenu,Command,BaseCommand[CreateMenu, SaBase],55%,src/contexts/recipes_catalog/core/adapters/client/api_schemas/commands/create_menu.py,MEDIUM,CreateMenu command,SaBase (generic),MEDIUM - Menu creation with meal collections,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiCreateRecipe,Command,BaseCommand[CreateRecipe, SaBase],55%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/commands/create_recipe.py,HIGH - CORE BUSINESS,CreateRecipe command,SaBase (generic),COMPLEX - Recipe creation with ingredients and nutrition,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiCreateTag,Command,BaseCommand[CreateTag, SaBase],55%,src/contexts/recipes_catalog/core/adapters/shared/api_schemas/commands/tag/create.py,LOW,CreateTag command,SaBase (generic),SIMPLE - Tag creation,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiDeleteClient,Command,BaseCommand[DeleteClient, SaBase],55%,src/contexts/recipes_catalog/core/adapters/client/api_schemas/commands/delete_client.py,MEDIUM,DeleteClient command,SaBase (generic),SIMPLE - Client deletion,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiDeleteMeal,Command,BaseCommand[DeleteMeal, SaBase],55%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/commands/delete_meal.py,MEDIUM,DeleteMeal command,SaBase (generic),SIMPLE - Meal deletion,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiDeleteMenu,Command,BaseCommand[DeleteMenu, SaBase],55%,src/contexts/recipes_catalog/core/adapters/client/api_schemas/commands/delete_menu.py,MEDIUM,DeleteMenu command,SaBase (generic),SIMPLE - Menu deletion,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiDeleteRecipe,Command,BaseCommand[DeleteRecipe, SaBase],55%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/commands/delete_recipe.py,HIGH - CORE BUSINESS,DeleteRecipe command,SaBase (generic),SIMPLE - Recipe deletion,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiDeleteTag,Command,BaseCommand[DeleteTag, SaBase],55%,src/contexts/recipes_catalog/core/adapters/shared/api_schemas/commands/tag/delete.py,LOW,DeleteTag command,SaBase (generic),SIMPLE - Tag deletion,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiRateRecipe,Command,BaseCommand[RateRecipe, SaBase],55%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/commands/rate_recipe.py,MEDIUM,RateRecipe command,SaBase (generic),MEDIUM - Recipe rating with score calculation,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiUpdateClient,Command,BaseCommand[UpdateClient, SaBase],55%,src/contexts/recipes_catalog/core/adapters/client/api_schemas/commands/update_client.py,MEDIUM,UpdateClient command,SaBase (generic),MEDIUM - Client update,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiUpdateMeal,Command,BaseCommand[UpdateMeal, SaBase],55%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/commands/update_meal.py,HIGH - CORE BUSINESS,UpdateMeal command,SaBase (generic),COMPLEX - Meal update with recipes and scheduling,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiUpdateMenu,Command,BaseCommand[UpdateMenu, SaBase],55%,src/contexts/recipes_catalog/core/adapters/client/api_schemas/commands/update_menu.py,MEDIUM,UpdateMenu command,SaBase (generic),MEDIUM - Menu update,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods
Recipes Catalog,ApiUpdateRecipe,Command,BaseCommand[UpdateRecipe, SaBase],55%,src/contexts/recipes_catalog/core/adapters/meal/api_schemas/commands/update_recipe.py,HIGH - CORE BUSINESS,UpdateRecipe command,SaBase (generic),COMPLEX - Recipe update with ingredients and nutrition,⚠️ ADD from_domain + ADD from_orm_model and to_orm_kwargs methods 
